invid,invhyas,invname,eigentuemer,messnetz_klartext,zcoordb,invmbeg,invzbeg,invzend,xcoord,ycoord,link,lon,lat
BL101A0150FIL001,5820,5820,Berliner Wasserbetriebe,-,38.2,39.03,11.0,13.0,408967.19,5811680.92,mailto:grundwasserstand-info@bwb.de,408967.19,5811680.92
BL101A0151FIL001,5810,5810,Berliner Wasserbetriebe,-,33.5,34.26,3.2,5.2,408391.08,5811776.86,mailto:grundwasserstand-info@bwb.de,408391.08,5811776.86
BL101A0151FIL002,5811,5811,Berliner Wasserbetriebe,-,33.5,34.18,10.9,12.9,408391.08,5811776.86,mailto:grundwasserstand-info@bwb.de,408391.08,5811776.86
BL101A0152FIL001,5814,5814,Berliner Wasserbetriebe,-,36.7,37.66,6.8,8.8,408391.54,5811800.84,mailto:grundwasserstand-info@bwb.de,408391.54,5811800.84
BL101A0152FIL002,5815,5815,Berliner Wasserbetriebe,-,36.7,37.56,14.2,16.2,408391.54,5811800.84,mailto:grundwasserstand-info@bwb.de,408391.54,5811800.84
BL101A0153FIL001,5812,5812,Berliner Wasserbetriebe,-,34.6,35.3,5.3,7.3,408391.18,5811781.85,mailto:grundwasserstand-info@bwb.de,408391.18,5811781.85
BL101A0153FIL002,5813,5813,Berliner Wasserbetriebe,-,34.6,35.23,11.0,13.0,408391.18,5811781.85,mailto:grundwasserstand-info@bwb.de,408391.18,5811781.85
BL101A0154FIL001,5786,5786,Berliner Wasserbetriebe,-,32.8,33.4,1.5,3.5,408935.88,5811664.51,mailto:grundwasserstand-info@bwb.de,408935.88,5811664.51
BL101A0154FIL002,5787,5787,Berliner Wasserbetriebe,-,32.8,33.35,6.0,8.0,408935.88,5811664.51,mailto:grundwasserstand-info@bwb.de,408935.88,5811664.51
BL101A0154FIL003,5788,5788,Berliner Wasserbetriebe,-,32.8,33.25,15.1,17.1,408935.88,5811664.51,mailto:grundwasserstand-info@bwb.de,408935.88,5811664.51
BL101A0155FIL001,5784,5784,Berliner Wasserbetriebe,-,32.8,33.58,2.3,4.3,408393.01,5811772.82,mailto:grundwasserstand-info@bwb.de,408393.01,5811772.82
BL101A0155FIL002,5785,5785,Berliner Wasserbetriebe,-,32.8,33.49,9.6,11.6,408393.01,5811772.82,mailto:grundwasserstand-info@bwb.de,408393.01,5811772.82
BL101A0156FIL001,5782,5782,Berliner Wasserbetriebe,-,33.3,33.13,4.9,6.9,407469.22,5811620.4,mailto:grundwasserstand-info@bwb.de,407469.22,5811620.4
BL101A0156FIL002,5783,5783,Berliner Wasserbetriebe,-,33.3,33.07,21.2,23.2,407469.22,5811620.4,mailto:grundwasserstand-info@bwb.de,407469.22,5811620.4
BL101A0157FIL001,5806,5806,Berliner Wasserbetriebe,-,34.5,34.31,5.0,7.0,406947.17,5811509.33,mailto:grundwasserstand-info@bwb.de,406947.17,5811509.33
BL101A0157FIL002,5807,5807,Berliner Wasserbetriebe,-,34.5,34.21,11.8,13.8,406947.17,5811509.33,mailto:grundwasserstand-info@bwb.de,406947.17,5811509.33
BL101A0158FIL001,5804,5804,Berliner Wasserbetriebe,-,34.2,34.07,4.3,6.3,406951.08,5811504.26,mailto:grundwasserstand-info@bwb.de,406951.08,5811504.26
BL101A0158FIL002,5805,5805,Berliner Wasserbetriebe,-,34.2,34.0,11.5,13.5,406951.08,5811504.26,mailto:grundwasserstand-info@bwb.de,406951.08,5811504.26
BL101A0159FIL001,5799,5799,Berliner Wasserbetriebe,-,33.9,34.89,4.0,6.0,408964.98,5811669.96,mailto:grundwasserstand-info@bwb.de,408964.98,5811669.96
BL101A0159FIL002,5800,5800,Berliner Wasserbetriebe,-,33.9,34.85,10.4,12.4,408964.98,5811669.96,mailto:grundwasserstand-info@bwb.de,408964.98,5811669.96
BL101A0159FIL003,5801,5801,Berliner Wasserbetriebe,-,33.9,34.81,19.5,21.5,408964.98,5811669.96,mailto:grundwasserstand-info@bwb.de,408964.98,5811669.96
BL101A0160FIL001,5797,5797,Berliner Wasserbetriebe,-,36.6,37.17,10.7,12.7,408393.39,5811792.81,mailto:grundwasserstand-info@bwb.de,408393.39,5811792.81
BL101A0160FIL002,5798,5798,Berliner Wasserbetriebe,-,36.6,37.12,17.7,19.7,408393.39,5811792.81,mailto:grundwasserstand-info@bwb.de,408393.39,5811792.81
BL101A0161FIL001,5789,5789,Berliner Wasserbetriebe,-,32.7,33.42,2.2,4.2,409653.89,5811511.88,mailto:grundwasserstand-info@bwb.de,409653.89,5811511.88
BL101A0161FIL002,5790,5790,Berliner Wasserbetriebe,-,32.7,33.3,16.0,18.0,409653.89,5811511.88,mailto:grundwasserstand-info@bwb.de,409653.89,5811511.88
BL101A0162FIL001,5808,5808,Berliner Wasserbetriebe,-,34.7,34.58,5.3,7.3,406937.39,5811520.52,mailto:grundwasserstand-info@bwb.de,406937.39,5811520.52
BL101A0162FIL002,5809,5809,Berliner Wasserbetriebe,-,34.7,34.5,11.8,13.8,406937.39,5811520.52,mailto:grundwasserstand-info@bwb.de,406937.39,5811520.52
BL101A0163FIL001,5780,5780,Berliner Wasserbetriebe,-,34.0,34.8,3.8,5.8,406955.0,5811500.18,mailto:grundwasserstand-info@bwb.de,406955.0,5811500.18
BL101A0163FIL002,5781,5781,Berliner Wasserbetriebe,-,34.0,34.72,11.3,13.3,406955.0,5811500.18,mailto:grundwasserstand-info@bwb.de,406955.0,5811500.18
BL101A0164FIL001,5818,5818,Berliner Wasserbetriebe,-,33.4,34.21,4.5,6.5,408942.03,5811672.4,mailto:grundwasserstand-info@bwb.de,408942.03,5811672.4
BL101A0164FIL002,5819,5819,Berliner Wasserbetriebe,-,33.4,34.18,11.1,13.1,408942.03,5811672.4,mailto:grundwasserstand-info@bwb.de,408942.03,5811672.4
BL101A0165FIL001,5635,5635,Berliner Wasserbetriebe,-,38.2,38.63,27.8,29.8,409102.93,5811668.34,mailto:grundwasserstand-info@bwb.de,409102.93,5811668.34
BL101A0167FIL001,8003,8003,Berliner Wasserbetriebe,-,37.0,37.5,78.0,80.0,407807.64,5813064.79,mailto:grundwasserstand-info@bwb.de,407807.64,5813064.79
BL101A0168FIL001,8004,8004,Berliner Wasserbetriebe,-,37.0,37.5,72.0,74.0,407803.28,5813045.87,mailto:grundwasserstand-info@bwb.de,407803.28,5813045.87
BL101A0169FIL001,5816,5816,Berliner Wasserbetriebe,-,33.2,33.91,4.0,6.0,408961.81,5811661.02,mailto:grundwasserstand-info@bwb.de,408961.81,5811661.02
BL101A0169FIL002,5817,5817,Berliner Wasserbetriebe,-,33.2,33.82,11.0,13.0,408961.81,5811661.02,mailto:grundwasserstand-info@bwb.de,408961.81,5811661.02
BL101A0170FIL001,5651,5651,Berliner Wasserbetriebe,-,32.0,32.76,4.0,6.0,408430.72,5811758.1,mailto:grundwasserstand-info@bwb.de,408430.72,5811758.1
BL101A0171FIL001,5652,5652,Berliner Wasserbetriebe,-,32.0,32.81,4.0,6.0,408742.68,5811705.18,mailto:grundwasserstand-info@bwb.de,408742.68,5811705.18
BL101A0172FIL001,5653,5653,Berliner Wasserbetriebe,-,32.0,32.82,4.0,6.0,409093.22,5811630.53,mailto:grundwasserstand-info@bwb.de,409093.22,5811630.53
BL101A0173FIL001,8029,8029,Berliner Wasserbetriebe,-,37.7,38.3,77.5,79.5,407816.53,5813006.63,mailto:grundwasserstand-info@bwb.de,407816.53,5813006.63
BL101A0174FIL001,8028,8028,Berliner Wasserbetriebe,-,37.7,38.5,58.5,60.5,407816.53,5813006.63,mailto:grundwasserstand-info@bwb.de,407816.53,5813006.63
BL101A0175FIL001,8030,8030,Berliner Wasserbetriebe,-,37.7,38.1,92.3,94.3,407816.53,5813006.63,mailto:grundwasserstand-info@bwb.de,407816.53,5813006.63
BL101A0176FIL001,9158,9158,Berliner Wasserbetriebe,-,36.6,37.16,10.52,11.52,407038.27,5813040.42,mailto:grundwasserstand-info@bwb.de,407038.27,5813040.42
BL101A0177FIL001,9159,9159,Berliner Wasserbetriebe,-,36.7,36.59,9.11,10.11,407078.4,5812521.72,mailto:grundwasserstand-info@bwb.de,407078.4,5812521.72
BL101A0178FIL001,9160,9160,Berliner Wasserbetriebe,-,36.79,36.52,0.0,0.01,407097.31,5812359.38,mailto:grundwasserstand-info@bwb.de,407097.31,5812359.38
BL101A0179FIL001,9161,9161,Berliner Wasserbetriebe,-,36.5,36.34,9.55,9.75,407075.79,5812173.81,mailto:grundwasserstand-info@bwb.de,407075.79,5812173.81
BL101A0180FIL001,9162,9162,Berliner Wasserbetriebe,-,36.48,36.32,9.2,10.2,407051.97,5812025.28,mailto:grundwasserstand-info@bwb.de,407051.97,5812025.28
BL101A0181FIL001,9163,9163,Berliner Wasserbetriebe,-,36.8,36.57,8.7,9.7,407091.92,5811654.56,mailto:grundwasserstand-info@bwb.de,407091.92,5811654.56
BL101A0184FIL001,9166,9166,Berliner Wasserbetriebe,-,37.0,37.56,0.0,0.01,407661.41,5811894.71,mailto:grundwasserstand-info@bwb.de,407661.41,5811894.71
BL101A0185FIL001,9168,9168,Berliner Wasserbetriebe,-,36.56,36.67,0.0,0.01,407442.15,5812089.85,mailto:grundwasserstand-info@bwb.de,407442.15,5812089.85
BL101A0186FIL001,9169,9169,Berliner Wasserbetriebe,-,37.55,38.01,0.0,0.01,407562.07,5812244.56,mailto:grundwasserstand-info@bwb.de,407562.07,5812244.56
BL101A0187FIL001,9170,9170,Berliner Wasserbetriebe,-,37.51,38.1,0.0,0.01,407551.32,5812309.75,mailto:grundwasserstand-info@bwb.de,407551.32,5812309.75
BL101A0188FIL001,9171,9171,Berliner Wasserbetriebe,-,37.5,37.94,0.0,0.01,407496.55,5812479.77,mailto:grundwasserstand-info@bwb.de,407496.55,5812479.77
BL101A0189FIL001,9172,9172,Berliner Wasserbetriebe,-,37.22,37.1,0.0,0.01,407356.37,5812679.41,mailto:grundwasserstand-info@bwb.de,407356.37,5812679.41
BL101A0192FIL001,9177,9177,Berliner Wasserbetriebe,-,37.74,38.27,0.0,0.01,407906.86,5811920.04,mailto:grundwasserstand-info@bwb.de,407906.86,5811920.04
BL101A0195FIL001,9181,9181,Berliner Wasserbetriebe,-,36.88,37.3,0.0,0.01,407952.6,5812222.14,mailto:grundwasserstand-info@bwb.de,407952.6,5812222.14
BL101A0199FIL001,9185,9185,Berliner Wasserbetriebe,-,37.3,37.87,0.0,0.01,407688.62,5811748.21,mailto:grundwasserstand-info@bwb.de,407688.62,5811748.21
BL101A0200FIL001,9186,9186,Berliner Wasserbetriebe,-,37.3,37.8,0.0,0.01,407831.79,5812494.4,mailto:grundwasserstand-info@bwb.de,407831.79,5812494.4
BL101A0207FIL001,9204,9204,Berliner Wasserbetriebe,-,36.93,37.39,0.0,0.01,408095.61,5812539.38,mailto:grundwasserstand-info@bwb.de,408095.61,5812539.38
BL101A0208FIL001,9205,9205,Berliner Wasserbetriebe,-,36.76,37.36,0.0,0.01,408095.71,5812544.38,mailto:grundwasserstand-info@bwb.de,408095.71,5812544.38
BL101A0210FIL001,9207,9207,Berliner Wasserbetriebe,-,37.44,37.72,0.0,0.01,408171.95,5812609.92,mailto:grundwasserstand-info@bwb.de,408171.95,5812609.92
BL101A0212FIL001,9209,9209,Berliner Wasserbetriebe,-,36.6,37.15,8.45,9.45,408389.82,5811920.86,mailto:grundwasserstand-info@bwb.de,408389.82,5811920.86
BL101A0215FIL001,9213,9213,Berliner Wasserbetriebe,-,37.66,38.51,0.0,0.01,408521.51,5812589.28,mailto:grundwasserstand-info@bwb.de,408521.51,5812589.28
BL101A0216FIL001,9215,9215,Berliner Wasserbetriebe,-,38.41,38.86,6.37,7.37,408575.13,5813043.2,mailto:grundwasserstand-info@bwb.de,408575.13,5813043.2
BL101A0217FIL001,9221,9221,Berliner Wasserbetriebe,-,38.04,38.44,0.0,0.01,408890.85,5812399.28,mailto:grundwasserstand-info@bwb.de,408890.85,5812399.28
BL101A0220FIL001,9224,9224,Berliner Wasserbetriebe,-,37.23,37.6,0.0,0.01,408811.6,5812069.83,mailto:grundwasserstand-info@bwb.de,408811.6,5812069.83
BL101A0221FIL001,9225,9225,Berliner Wasserbetriebe,-,37.56,38.27,0.0,0.01,408796.14,5811940.14,mailto:grundwasserstand-info@bwb.de,408796.14,5811940.14
BL101A0222FIL001,9226,9226,Berliner Wasserbetriebe,-,37.04,37.7,0.0,0.01,408666.76,5811919.6,mailto:grundwasserstand-info@bwb.de,408666.76,5811919.6
BL101A0223FIL001,9227,9227,Berliner Wasserbetriebe,-,37.95,37.86,14.05,15.05,409103.35,5811690.33,mailto:grundwasserstand-info@bwb.de,409103.35,5811690.33
BL101A0224FIL001,9228,9228,Berliner Wasserbetriebe,-,37.66,38.23,0.0,0.01,408980.77,5811869.63,mailto:grundwasserstand-info@bwb.de,408980.77,5811869.63
BL101A0226FIL001,9230,9230,Berliner Wasserbetriebe,-,38.2,38.67,6.63,7.63,409201.49,5812119.41,mailto:grundwasserstand-info@bwb.de,409201.49,5812119.41
BL101A0230FIL001,9234,9234,Berliner Wasserbetriebe,-,39.28,39.79,0.0,0.01,409080.84,5812399.67,mailto:grundwasserstand-info@bwb.de,409080.84,5812399.67
BL101A0232FIL001,9237,9237,Berliner Wasserbetriebe,-,39.0,39.42,0.0,0.01,409221.07,5812360.01,mailto:grundwasserstand-info@bwb.de,409221.07,5812360.01
BL101A0233FIL001,9238,9238,Berliner Wasserbetriebe,-,38.5,39.2,29.58,30.58,409240.03,5812410.64,mailto:grundwasserstand-info@bwb.de,409240.03,5812410.64
BL101A0235FIL001,9251,9251,Berliner Wasserbetriebe,-,37.76,38.21,0.0,0.01,409560.99,5811884.6,mailto:grundwasserstand-info@bwb.de,409560.99,5811884.6
BL101A0236FIL001,9252,9252,Berliner Wasserbetriebe,-,37.5,38.44,28.7,29.7,409515.06,5811835.48,mailto:grundwasserstand-info@bwb.de,409515.06,5811835.48
BL101A0237FIL001,9253,9253,Berliner Wasserbetriebe,-,38.66,39.01,0.0,0.01,409340.59,5811809.8,mailto:grundwasserstand-info@bwb.de,409340.59,5811809.8
BL101A0240FIL001,9354,9354,Berliner Wasserbetriebe,-,33.6,34.48,0.0,0.01,406682.32,5811410.38,mailto:grundwasserstand-info@bwb.de,406682.32,5811410.38
BL101A0241FIL001,9356,9356,Berliner Wasserbetriebe,-,36.18,36.93,42.0,45.0,406681.83,5812857.22,mailto:grundwasserstand-info@bwb.de,406681.83,5812857.22
BL101A0242FIL001,9357,9357,Berliner Wasserbetriebe,-,37.76,38.33,0.0,0.01,407831.53,5813059.34,mailto:grundwasserstand-info@bwb.de,407831.53,5813059.34
BL101A0243FIL001,6786,6786,Berliner Wasserbetriebe,-,38.5,39.4,0.0,0.01,409198.12,5812257.46,mailto:grundwasserstand-info@bwb.de,409198.12,5812257.46
BL101A0244FIL001,6788,6788,Berliner Wasserbetriebe,-,38.5,39.15,0.0,0.01,409198.12,5812257.46,mailto:grundwasserstand-info@bwb.de,409198.12,5812257.46
BL101A0245FIL001,6793,6793,Berliner Wasserbetriebe,-,37.9,38.71,0.0,0.01,409151.4,5811956.38,mailto:grundwasserstand-info@bwb.de,409151.4,5811956.38
BL101A0246FIL001,6795,6795,Berliner Wasserbetriebe,-,37.7,38.68,0.0,0.01,409057.34,5811847.18,mailto:grundwasserstand-info@bwb.de,409057.34,5811847.18
BL101A0247FIL001,6796,6796,Berliner Wasserbetriebe,-,37.7,38.58,0.0,0.01,409057.34,5811847.18,mailto:grundwasserstand-info@bwb.de,409057.34,5811847.18
BL101A0248FIL001,6797,6797,Berliner Wasserbetriebe,-,37.6,38.4,0.0,0.01,408984.26,5811737.58,mailto:grundwasserstand-info@bwb.de,408984.26,5811737.58
BL101A0249FIL001,6799,6799,Berliner Wasserbetriebe,-,36.9,37.68,0.0,0.01,408384.65,5811911.96,mailto:grundwasserstand-info@bwb.de,408384.65,5811911.96
BL101A0250FIL001,6800,6800,Berliner Wasserbetriebe,-,36.9,37.58,0.0,0.01,408384.65,5811911.96,mailto:grundwasserstand-info@bwb.de,408384.65,5811911.96
BL101A0251FIL001,6801,6801,Berliner Wasserbetriebe,-,35.3,37.91,11.0,13.0,407960.03,5811666.06,mailto:grundwasserstand-info@bwb.de,407960.03,5811666.06
BL101A0252FIL001,6920,6920,Berliner Wasserbetriebe,-,34.6,35.62,15.0,17.0,407466.27,5811675.45,mailto:grundwasserstand-info@bwb.de,407466.27,5811675.45
BL101A0405FIL001,9210,9210,Berliner Wasserbetriebe,-,37.24,37.63,0.0,0.01,408461.58,5812329.45,mailto:grundwasserstand-info@bwb.de,408461.58,5812329.45
BL101A0580FIL001,15069,15069,Berliner Wasserbetriebe,-,37.5,38.06,29.19,30.19,407872.92,5812343.64,mailto:grundwasserstand-info@bwb.de,407872.92,5812343.64
BL101A0581FIL001,8002,8002,Berliner Wasserbetriebe,-,37.1,37.6,80.0,82.0,407811.0,5813083.72,mailto:grundwasserstand-info@bwb.de,407811.0,5813083.72
BL101A0582FIL001,6916,6916,Berliner Wasserbetriebe,-,36.8,37.46,12.3,15.5,408088.24,5812098.57,mailto:grundwasserstand-info@bwb.de,408088.24,5812098.57
BL101A0583FIL001,9167,9167,Berliner Wasserbetriebe,-,37.69,38.45,30.0,32.0,407622.28,5812045.44,mailto:grundwasserstand-info@bwb.de,407622.28,5812045.44
BL101A0584FIL001,9214,9214,Berliner Wasserbetriebe,-,37.49,38.12,15.7,17.7,408532.57,5812750.05,mailto:grundwasserstand-info@bwb.de,408532.57,5812750.05
BL101A0585FIL001,15115,15115,Berliner Wasserbetriebe,-,37.45,37.65,238.0,242.0,408744.67,5811757.14,mailto:grundwasserstand-info@bwb.de,408744.67,5811757.14
BL101A0586FIL001,6745,6745,Berliner Wasserbetriebe,-,37.65,38.03,69.53,73.53,408744.67,5811757.14,mailto:grundwasserstand-info@bwb.de,408744.67,5811757.14
BL101A0587FIL001,6746,6746,Berliner Wasserbetriebe,-,37.65,37.84,111.25,117.25,408744.67,5811757.14,mailto:grundwasserstand-info@bwb.de,408744.67,5811757.14
BL101A0588FIL001,7546,7546,Berliner Wasserbetriebe,-,36.74,37.76,0.0,0.01,407092.31,5812727.43,mailto:grundwasserstand-info@bwb.de,407092.31,5812727.43
BL101A0589FIL001,15136,15136,Berliner Wasserbetriebe,-,37.33,37.94,15.6,17.59,407429.01,5812977.0,mailto:grundwasserstand-info@bwb.de,407429.01,5812977.0
BL101A0590FIL001,15140,15140,Berliner Wasserbetriebe,-,38.88,39.68,29.3,32.25,409549.05,5811992.82,mailto:grundwasserstand-info@bwb.de,409549.05,5811992.82
BL101A0591FIL001,9239,9239 (FRI092),Berliner Wasserbetriebe,-,38.69,39.32,17.6,19.6,409284.93,5812668.75,mailto:grundwasserstand-info@bwb.de,409284.93,5812668.75
BL101A0592FIL001,5518,5518,Berliner Wasserbetriebe,-,38.19,38.74,71.6,74.6,409166.71,5812078.07,mailto:grundwasserstand-info@bwb.de,409166.71,5812078.07
BL101A0593FIL001,5517,5517,Berliner Wasserbetriebe,-,38.19,38.92,31.6,34.6,409166.71,5812078.07,mailto:grundwasserstand-info@bwb.de,409166.71,5812078.07
BL101A0594FIL001,5717,5717,Berliner Wasserbetriebe,-,36.6,36.92,8.0,10.0,408419.41,5811794.31,mailto:grundwasserstand-info@bwb.de,408419.41,5811794.31
BL101A0595FIL001,5795,5795,Berliner Wasserbetriebe,-,34.7,34.39,6.8,8.8,406942.25,5811513.43,mailto:grundwasserstand-info@bwb.de,406942.25,5811513.43
BL101A0595FIL003,5796,5796,Berliner Wasserbetriebe,-,34.7,34.28,13.58,15.58,406942.25,5811513.43,mailto:grundwasserstand-info@bwb.de,406942.25,5811513.43
BL101A0598FIL001,9248,9248,Berliner Wasserbetriebe,-,38.04,38.55,0.0,0.01,409731.09,5812259.32,mailto:grundwasserstand-info@bwb.de,409731.09,5812259.32
BL101A0599FIL001,9249,9249,Berliner Wasserbetriebe,-,37.95,38.49,0.0,0.01,409780.61,5812234.39,mailto:grundwasserstand-info@bwb.de,409780.61,5812234.39
BL101A0916FIL001,2638,2638,Berliner Wasserbetriebe,-,37.1,,11.0,13.0,408016.62,5811865.86,mailto:grundwasserstand-info@bwb.de,408016.62,5811865.86
BL101A0917FIL001,2639,FRI069UP,Berliner Wasserbetriebe,-,37.32,37.91,33.2,35.2,408455.99,5812371.85,mailto:grundwasserstand-info@bwb.de,408455.99,5812371.85
BL101A0918FIL001,2644,2644,Berliner Wasserbetriebe,-,35.69,35.62,15.05,17.05,407465.78,5811675.96,mailto:grundwasserstand-info@bwb.de,407465.78,5811675.96
BL101A0919FIL001,2646,FRI296OP,Berliner Wasserbetriebe,-,37.05,37.88,22.1,24.1,408142.09,5812286.03,mailto:grundwasserstand-info@bwb.de,408142.09,5812286.03
BL101A0920FIL001,2647,FRI296UP,Berliner Wasserbetriebe,-,37.05,37.79,35.05,37.05,408138.57,5812284.79,mailto:grundwasserstand-info@bwb.de,408138.57,5812284.79
BL101A0921FIL001,2648,FRI297OP,Berliner Wasserbetriebe,-,37.47,38.34,18.15,20.15,408819.39,5812232.16,mailto:grundwasserstand-info@bwb.de,408819.39,5812232.16
BL101A0922FIL001,2649,FRI297UP,Berliner Wasserbetriebe,-,37.47,38.23,33.1,35.1,408820.5,5812238.44,mailto:grundwasserstand-info@bwb.de,408820.5,5812238.44
BL101B0032FIL001,9318,9318,Berliner Wasserbetriebe,-,39.1,39.45,6.41,7.41,411818.34,5811865.7,mailto:grundwasserstand-info@bwb.de,411818.34,5811865.7
BL101B0092FIL001,6747,6747,Berliner Wasserbetriebe,-,39.0,41.18,209.0,213.0,410050.84,5812774.18,mailto:grundwasserstand-info@bwb.de,410050.84,5812774.18
BL101B0093FIL001,5791,5791,Berliner Wasserbetriebe,-,32.6,33.16,1.5,3.5,410036.0,5811151.67,mailto:grundwasserstand-info@bwb.de,410036.0,5811151.67
BL101B0093FIL002,5792,5792,Berliner Wasserbetriebe,-,32.6,33.1,4.8,6.8,410036.0,5811151.67,mailto:grundwasserstand-info@bwb.de,410036.0,5811151.67
BL101B0094FIL001,5802,5802,Berliner Wasserbetriebe,-,33.0,34.12,5.0,7.0,410052.31,5811168.36,mailto:grundwasserstand-info@bwb.de,410052.31,5811168.36
BL101B0094FIL002,5803,5803,Berliner Wasserbetriebe,-,33.0,34.06,15.5,17.5,410052.31,5811168.36,mailto:grundwasserstand-info@bwb.de,410052.31,5811168.36
BL101B0095FIL001,5826,5826,Berliner Wasserbetriebe,-,32.9,33.65,2.0,4.0,410062.29,5811167.17,mailto:grundwasserstand-info@bwb.de,410062.29,5811167.17
BL101B0095FIL002,5827,5827,Berliner Wasserbetriebe,-,32.9,33.6,4.0,6.0,410062.29,5811167.17,mailto:grundwasserstand-info@bwb.de,410062.29,5811167.17
BL101B0096FIL001,5824,5824,Berliner Wasserbetriebe,-,32.7,33.44,2.5,4.5,410046.24,5811164.47,mailto:grundwasserstand-info@bwb.de,410046.24,5811164.47
BL101B0096FIL002,5825,5825,Berliner Wasserbetriebe,-,32.7,33.34,5.0,7.0,410046.24,5811164.47,mailto:grundwasserstand-info@bwb.de,410046.24,5811164.47
BL101B0097FIL001,5821,5821,Berliner Wasserbetriebe,-,32.8,33.6,2.5,4.5,410046.24,5811164.47,mailto:grundwasserstand-info@bwb.de,410046.24,5811164.47
BL101B0097FIL002,5822,5822,Berliner Wasserbetriebe,-,32.8,33.52,6.2,8.2,410046.24,5811164.47,mailto:grundwasserstand-info@bwb.de,410046.24,5811164.47
BL101B0097FIL003,5823,5823,Berliner Wasserbetriebe,-,32.8,33.45,11.5,13.5,410046.24,5811164.47,mailto:grundwasserstand-info@bwb.de,410046.24,5811164.47
BL101B0098FIL001,5876,5876,Berliner Wasserbetriebe,-,38.8,39.9,12.6,14.6,411344.44,5812551.62,mailto:grundwasserstand-info@bwb.de,411344.44,5812551.62
